object,color,seed,prompt,path,object_correct,color_correct,annotator
apple,black,20,a photo of a black apple,apple/black/seed_0020.png,1,0,Gabriel
apple,black,3,a photo of a black apple,apple/black/seed_0003.png,1,0,Gabriel
apple,black,0,a photo of a black apple,apple/black/seed_0000.png,1,0,Gabriel
apple,blue,23,a photo of a blue apple,apple/blue/seed_0023.png,1,1,Gabriel
apple,blue,8,a photo of a blue apple,apple/blue/seed_0008.png,1,0,Gabriel
apple,blue,7,a photo of a blue apple,apple/blue/seed_0007.png,1,1,Gabriel
apple,brown,7,a photo of a brown apple,apple/brown/seed_0007.png,1,0,Gabriel
apple,brown,4,a photo of a brown apple,apple/brown/seed_0004.png,1,0,Gabriel
apple,brown,23,a photo of a brown apple,apple/brown/seed_0023.png,1,0,Gabriel
apple,green,3,a photo of a green apple,apple/green/seed_0003.png,1,1,Gabriel
apple,green,21,a photo of a green apple,apple/green/seed_0021.png,1,1,Gabriel
apple,green,23,a photo of a green apple,apple/green/seed_0023.png,1,1,Gabriel
apple,orange,28,a photo of a orange apple,apple/orange/seed_0028.png,1,1,Gabriel
apple,orange,17,a photo of a orange apple,apple/orange/seed_0017.png,1,1,Gabriel
apple,orange,2,a photo of a orange apple,apple/orange/seed_0002.png,1,1,Gabriel
apple,pink,18,a photo of a pink apple,apple/pink/seed_0018.png,1,1,Gabriel
apple,pink,13,a photo of a pink apple,apple/pink/seed_0013.png,1,1,Gabriel
apple,pink,1,a photo of a pink apple,apple/pink/seed_0001.png,1,1,Gabriel
apple,purple,0,a photo of a purple apple,apple/purple/seed_0000.png,1,0,Gabriel
apple,purple,2,a photo of a purple apple,apple/purple/seed_0002.png,1,0,Gabriel
apple,purple,6,a photo of a purple apple,apple/purple/seed_0006.png,1,1,Gabriel
apple,red,7,a photo of a red apple,apple/red/seed_0007.png,1,1,Gabriel
apple,red,16,a photo of a red apple,apple/red/seed_0016.png,1,1,Gabriel
apple,red,19,a photo of a red apple,apple/red/seed_0019.png,1,1,Gabriel
apple,white,0,a photo of a white apple,apple/white/seed_0000.png,1,0,Gabriel
apple,white,17,a photo of a white apple,apple/white/seed_0017.png,1,1,Gabriel
