object,color,seed,prompt,path,object_correct,color_correct,annotator
apple,black,20,a photo of a black apple,apple/black/seed_0020.png,1,0,Teste
apple,black,3,a photo of a black apple,apple/black/seed_0003.png,1,0,Teste
apple,black,0,a photo of a black apple,apple/black/seed_0000.png,1,0,Teste
apple,blue,23,a photo of a blue apple,apple/blue/seed_0023.png,1,1,Teste
apple,blue,8,a photo of a blue apple,apple/blue/seed_0008.png,1,0,Teste
apple,blue,7,a photo of a blue apple,apple/blue/seed_0007.png,1,1,Teste
apple,brown,7,a photo of a brown apple,apple/brown/seed_0007.png,1,0,Teste
apple,brown,4,a photo of a brown apple,apple/brown/seed_0004.png,1,0,Teste
apple,brown,23,a photo of a brown apple,apple/brown/seed_0023.png,1,0,Teste
apple,green,3,a photo of a green apple,apple/green/seed_0003.png,1,1,Teste
apple,green,21,a photo of a green apple,apple/green/seed_0021.png,1,1,Teste
apple,green,23,a photo of a green apple,apple/green/seed_0023.png,1,1,Teste
apple,orange,28,a photo of a orange apple,apple/orange/seed_0028.png,1,1,Teste
apple,orange,17,a photo of a orange apple,apple/orange/seed_0017.png,1,1,Teste
apple,orange,2,a photo of a orange apple,apple/orange/seed_0002.png,1,1,Teste
apple,pink,18,a photo of a pink apple,apple/pink/seed_0018.png,1,1,Teste
apple,pink,13,a photo of a pink apple,apple/pink/seed_0013.png,1,1,Teste
apple,pink,1,a photo of a pink apple,apple/pink/seed_0001.png,1,1,Teste
apple,purple,0,a photo of a purple apple,apple/purple/seed_0000.png,1,0,Teste
apple,purple,2,a photo of a purple apple,apple/purple/seed_0002.png,1,0,Teste
apple,purple,6,a photo of a purple apple,apple/purple/seed_0006.png,1,1,Teste
apple,red,7,a photo of a red apple,apple/red/seed_0007.png,1,1,Teste
apple,red,16,a photo of a red apple,apple/red/seed_0016.png,1,1,Teste
apple,red,19,a photo of a red apple,apple/red/seed_0019.png,1,1,Teste
apple,white,0,a photo of a white apple,apple/white/seed_0000.png,1,0,Teste
apple,white,17,a photo of a white apple,apple/white/seed_0017.png,1,1,Teste
apple,white,6,a photo of a white apple,apple/white/seed_0006.png,1,0,Teste
apple,yellow,22,a photo of a yellow apple,apple/yellow/seed_0022.png,1,0,Teste
apple,yellow,20,a photo of a yellow apple,apple/yellow/seed_0020.png,1,0,Teste
apple,yellow,17,a photo of a yellow apple,apple/yellow/seed_0017.png,1,0,Teste
bag,black,13,a photo of a black bag,bag/black/seed_0013.png,1,1,Teste
bag,black,7,a photo of a black bag,bag/black/seed_0007.png,1,1,Teste
bag,black,14,a photo of a black bag,bag/black/seed_0014.png,1,1,Teste
bag,blue,18,a photo of a blue bag,bag/blue/seed_0018.png,1,1,Teste
bag,blue,8,a photo of a blue bag,bag/blue/seed_0008.png,1,0,Teste
bag,blue,25,a photo of a blue bag,bag/blue/seed_0025.png,1,1,Teste
bag,brown,27,a photo of a brown bag,bag/brown/seed_0027.png,1,1,Teste
bag,brown,0,a photo of a brown bag,bag/brown/seed_0000.png,1,1,Teste
bag,brown,24,a photo of a brown bag,bag/brown/seed_0024.png,1,1,Teste
bag,green,25,a photo of a green bag,bag/green/seed_0025.png,1,1,Teste
bag,green,5,a photo of a green bag,bag/green/seed_0005.png,1,1,Teste
bag,green,22,a photo of a green bag,bag/green/seed_0022.png,1,1,Teste
bag,orange,13,a photo of a orange bag,bag/orange/seed_0013.png,1,1,Teste
bag,orange,10,a photo of a orange bag,bag/orange/seed_0010.png,1,1,Teste
bag,orange,8,a photo of a orange bag,bag/orange/seed_0008.png,1,1,Teste
bag,pink,4,a photo of a pink bag,bag/pink/seed_0004.png,1,1,Teste
