object,color,cand_idx,path,url,original_caption
ball,black,0,ball\black\cand_000.png,http://shopxml.com/uploads/prod14/img1_00/003/12405973_1352311485.jpg,10mm Stainless Steel and 10mm Black Onyx Beads 11 Bead Shamballa Bracelet with Black String
ball,black,1,ball\black\cand_001.png,http://images.fineartamerica.com/images-small/black-and-blue-jig-robert-ballance.jpg,Largemouth Paintings - Black and Blue Jig by Robert Ballance
flower,brown,0,flower\brown\cand_000.png,https://cdn11.bigcommerce.com/s-x49po/images/stencil/500x659/products/85/5555/41Narcissus04__37789__88647.1409744757.jpg?c=2,"Flower03 - 32in X 32in,41Narcissus04_3232,Yellow, Brown,80X80,Replicas Art Canvas Painting"
ball,black,2,ball\black\cand_002.png,https://i5.walmartimages.com/asr/d070cb02-79a7-4e7f-9da0-603ac585a04b_1.0afc4a57e7a92c2a52a0bd1a05480eac.jpeg?odnWidth=200&amp;odnHeight=200&amp;odnBg=ffffff,"""New Orleans Football """"I Bleed Black and Gold, Go New Orleans"""" T-Shirt, Black"""
apple,blue,0,apple\blue\cand_000.png,https://us.123rf.com/450wm/dml5050/dml50501102/dml5050110200078/8817913-alcoholic-cocktails-many-drinks-beverages-blue-hawaiian-mojito-sex-on-the-beach-tropical-martini-teq.jpg?ver=6,"Alcoholic Cocktails. Many drinks beverages Blue hawaiian, mojito; Sex on the beach, tropical  Martini, tequila sunrise, margarita, champagne and cognac glass, cocktail umbrella, cherry, lime and pineapple photo"
apple,orange,0,apple\orange\cand_000.png,https://us.123rf.com/450wm/helenaak14/helenaak141906/helenaak14190600228/127036041-pineapple-orange-lemon-grapefruit-lime-coconut-and-palm-leaves-lying-on-white-background.jpg?ver=6,"Pineapple, orange, lemon, grapefruit, lime, coconut and palm leaves lying on white background Reklamní fotografie"
apple,white,0,apple\white\cand_000.png,https://s-media-cache-ak0.pinimg.com/736x/18/8d/46/188d46bb5d55508d90bc7575a81f878d.jpg,Protein Banana Bread – Take your health to the next level with this Protein Banana Bread recipe! Ingredients: 2 ripe Bananas 3/4 cup Oat Flour 3/4 cup CORE Vanilla Bean Protein Shake 1 cup 0% fat GreekYogurt 1/3 cup Egg Whites 1/4 cup Unsweetened Applesauce 6 packets of Stevia 2 tsp pure Vanilla Ext
ball,black,3,ball\black\cand_003.png,http://shopxml.com/uploads/prod14/img1_00/003/12405892_1351151547.jpg,8mm Matte Black Onyx and Saphire Blue Disco Ball Beads 11 Bead Shamballa Bracelet with Black String
ball,black,4,ball\black\cand_004.png,https://us.123rf.com/450wm/dariusl/dariusl1108/dariusl110800087/10344243-3d-green-chrome-ball-network-communication-black.jpg?ver=6,"intercommunication: 3d, green, chrome, ball, network, communication, black"
apple,white,1,apple\white\cand_001.png,http://ecx.images-amazon.com/images/I/31QB5kRvugL.jpg,"Apple iPad Mini ME220LL/A (64GB, Wi-Fi + Sprint 4G, White)"
apple,white,2,apple\white\cand_002.png,https://lh3.googleusercontent.com/v1Bwzc1gRSko_yNbWOhnAZOKt_Ss36gplSXDdlTLRzFfc523xWWybeHPZgEwKGiQgs6JvGTX0AP18YWo7JZMhSs=s320-c-e365,White Chocolate-Pumpkin Pie Caramel Apples
apple,white,3,apple\white\cand_003.png,https://bodasyweddings.com/wp-content/uploads/2016/04/Snow-White-inspired-candied-apples.jpg,Snow White inspired candied apples. So maybe you aren't getting married in a castle. You can still add a touch of Disney Magic to your special day.
apple,orange,1,apple\orange\cand_001.png,"https://dr9wvh6oz7mzp.cloudfront.net/i/61c6657a88b7d29a0a1511f69ee28b46_ra,w128,h154_pa,w128,h154.jpeg",AppleCheeks Diaper Cover Orange You Glad
apple,blue,1,apple\blue\cand_001.png,https://assets.epicurious.com/photos/54b05bf4fca98987608b0cb4/1:1/w_400%2Cc_limit/51124280_spiced-bundt-cake_1x1.jpg,Spiced bundt cake topped with apple caramel sauce and powdered sugar on a blue serving platter.
banana,blue,0,banana\blue\cand_000.png,https://64.media.tumblr.com/bb82195e3bb8c5efa3354e827b2e5736/tumblr_mmuz5rquxJ1s9r51vo1_1280.jpg,"cleanbodyfreshstart:  {four sliced bananas, frozen blueberries, roasted buckwheat, walnuts, soy milk} 🌻#vegan"
apple,blue,2,apple\blue\cand_002.png,https://i.pinimg.com/736x/02/0b/f8/020bf82c0e37d2ae65993abf3b3b9d5c--wallpaper-for-mobile-apple-wallpaper.jpg,Iphone logo: Blue Orange Apple
apple,white,4,apple\white\cand_004.png,http://miniimg4.rightinthebox.com/images/190x176/201610/akeouj1477662857234.jpg,White Leopard Painting PU Phone Case for apple iTouch 5 6
apple,orange,2,apple\orange\cand_002.png,https://www.idboox.com/wp-content/uploads/2017/09/Apple-Watch-Series-3.jpg,Apple Watch Series 3 chez Orange
apple,orange,3,apple\orange\cand_003.png,https://cdn.shopify.com/s/files/1/0465/0188/8158/products/5f66ec4b99b44-Apple-iPhone-6s-with-Apple-Hole_300x300.jpg?v=1600580747,Phone Case for Apple iPhone - Just Chillin' Orange
flower,brown,1,flower\brown\cand_001.png,http://i00.i.aliimg.com/wsphoto/v0/975081542/red-rose-flower-with-brown-leopard-animal-printed-bedding-set-3D-oil-painting-bed-linen-cotton.jpg_200x200.jpg,red rose flower with brown leopard animal printed bedding set 3D oil painting bed linen cotton full queen duvet covers sets 4pcs
apple,blue,3,apple\blue\cand_003.png,https://www.hicity.fr/img/220x220/mini-haut-parleur-enceinte-portable-sans-fil-bluetooth-haut-parleur-k01-or-109039.jpg,Mini Haut Parleur Enceinte Portable Sans Fil Bluetooth Haut-Parleur K01 pour Apple iPhone Xs Max Or
banana,blue,1,banana\blue\cand_001.png,https://1.bp.blogspot.com/-7sXk3dephTw/V0SFxk84Z3I/AAAAAAAAqcE/Cet-f7ON8FUZ3FSxwv9gr1a83MFAu23fACLcB/s1600/French%2BToast%2BKebabs%2Bwith%2BChocolate%2BHazelnut%2BDrizzle.jpg,"French Toast Kebabs with Chocolate Hazelnut Drizzle are a simple and fun brunch recipe that is loaded with fresh bananas, strawberries, raspberries and blueberries! www.nutritionistreviews.com"
apple,blue,4,apple\blue\cand_004.png,https://images-na.ssl-images-amazon.com/images/I/41Odss97kUL.jpg,"Headset System Bluetooth Usb (Wall Charger, 2.4A 12W Dual Port Portable Universal USB Wall Charger Apple iPhone,iPad, Samsung Galaxy, HTC Nexus Moto BlackBerry, Bluetooth Speaker Headset & Power Bank, White (2-Pack))"
flower,brown,2,flower\brown\cand_002.png,https://static2.bigstockphoto.com/thumbs/9/2/6/small2/62904355.jpg,stock photo of origanum majorana  - fresh flavoring herbs oregano in brown wicker basket flowerpot isolated on white background - JPG
banana,blue,2,banana\blue\cand_002.png,https://media1.popsugar-assets.com/files/thumbor/jSZ9AbWmfXkktEbcOKKbIyBR0Ho/fit-in/1024x1024/filters:format_auto-!!-:strip_icc-!!-/2017/09/07/998/n/1922729/bf626cda7d311a86_blueberry-oatmeal-pancakes-4/i/Blueberry-Oatmeal-Vegan-Pancakes.jpg,how to make flourless blue berry banana pancakes
flower,brown,3,flower\brown\cand_003.png,https://cdn.shopify.com/s/files/1/0292/8053/products/DSC_0021_fb7b7d23-ed8f-4fc2-9f08-9d1796724115_large.JPG?v=1571271349,Antique Staffordshire Yellow Chintz & Brown Two Color Transferware Plate Roses Flowers
flower,brown,4,flower\brown\cand_004.png,https://images.collection.cooperhewitt.org/220604_65c0375cea21d1dc_n.jpg,"Fragment showing two birds amidst flowers, leaves and tree branches. Colors are brown, pink and black with blue and yellow making green."
banana,blue,3,banana\blue\cand_003.png,https://us.123rf.com/450wm/chekat/chekat1603/chekat160300041/53774069-seamless-vector-pattern-of-yellow-bananas-on-a-blue-background-.jpg?ver=6,Seamless vector pattern of yellow bananas on a blue background.
banana,blue,4,banana\blue\cand_004.png,https://dtpmhvbsmffsz.cloudfront.net/posts/2015/08/25/55dcd5af713fde49bd02a354/s_55dcd5af713fde49bd02a355.jpg,Banana Republic nude and blue Purse
apple,orange,4,apple\orange\cand_004.png,http://news.bbcimg.co.uk/media/images/71485000/jpg/_71485961_2.jpg,Drawings of 5 oranges and 3 apples
