object,target_color,source_path,source_original_color,augment_seed,stage,reason,vlm_object_predicted,vlm_color_predicted
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_000.png,red,42854892,vlm,color:red,apple,red
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_000.png,green,42207908,vlm,color:green,apple,green
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_002.png,red,42650371,vlm,color:red,apple,red
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_003.png,green,42500240,recolor,mask too small (0.9% < 2.0%),,
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_005.png,red,42853259,vlm,object:unmatched,unmatched,blue
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_004.png,green,42801283,vlm,color:green,apple,green
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_008.png,red,42651152,recolor,mask too small (1.5% < 2.0%),,
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_013.png,red,42592797,vlm,object:unmatched,unmatched,blue
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_000.png,red,42244524,vlm,object:unmatched color:red,unmatched,red
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_000.png,green,42543235,vlm,color:green,apple,green
apple,blue,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_002.png,red,42390690,vlm,color:red,apple,red
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_000.png,red,42772921,vlm,color:red,apple,red
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_000.png,green,42476624,vlm,color:green,apple,green
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_002.png,red,42324079,vlm,color:red,apple,red
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_001.png,green,42975809,vlm,color:green,apple,green
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_003.png,green,42418269,recolor,mask too small (0.9% < 2.0%),,
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_005.png,red,42121972,vlm,object:unmatched,unmatched,brown
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_004.png,green,42069996,vlm,color:green,apple,green
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_009.png,green,42621157,vlm,object:unmatched,unmatched,brown
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_008.png,red,42569181,recolor,mask too small (1.5% < 2.0%),,
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_011.png,green,42867892,vlm,object:unmatched,unmatched,brown
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_013.png,red,42665785,vlm,object:unmatched,unmatched,brown
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_000.png,red,42513240,vlm,object:unmatched color:red,unmatched,red
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_000.png,green,42866259,vlm,color:green,apple,green
apple,brown,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_002.png,red,42713714,vlm,color:red,apple,red
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_000.png,red,42747957,vlm,color:red,apple,red
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_000.png,green,42100973,vlm,color:green,apple,green
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_002.png,red,42698395,vlm,color:red,apple,red
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_003.png,red,42247139,vlm,color:brown,apple,brown
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_001.png,green,42545850,vlm,color:brown,apple,brown
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_003.png,green,42197577,recolor,mask too small (1.1% < 2.0%),,
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_005.png,red,42692016,vlm,object:unmatched,unmatched,orange
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_004.png,green,42045032,vlm,color:green,apple,green
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_009.png,green,42191198,vlm,object:unmatched,unmatched,orange
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_008.png,red,42544217,vlm,object:unmatched color:red,unmatched,red
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_011.png,green,42842928,vlm,object:unmatched,unmatched,orange
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_014.png,green,42690383,vlm,color:brown,apple,brown
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_012.png,red,42342110,vlm,color:red,apple,red
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_013.png,red,42290134,vlm,color:red,apple,red
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_000.png,green,42436300,vlm,color:green,apple,green
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_001.png,red,42789319,vlm,object:unmatched,unmatched,orange
apple,orange,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_002.png,red,42088027,vlm,color:red,apple,red
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_000.png,red,42389519,vlm,color:red,apple,red
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_000.png,green,42093222,vlm,color:green,apple,green
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_001.png,red,42041246,vlm,object:ball,ball,white
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_002.png,red,42394265,vlm,color:red,apple,red
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_003.png,red,42888704,vlm,color:red,apple,red
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_001.png,green,42187412,vlm,object:unmatched color:green,unmatched,green
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_003.png,green,42839142,recolor,mask too small (1.0% < 2.0%),,
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_004.png,green,42686597,vlm,color:green,apple,green
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_006.png,green,42338324,vlm,object:unmatched,unmatched,white
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/green/cand_009.png,green,42832763,vlm,object:ball,ball,white
apple,white,/content/drive/MyDrive/binding-research/finetuning/control_candidates/apple/red/cand_008.png,red,42185779,vlm,color:red,apple,red
