"object","target_color","vlm_object_predicted","vlm_color_predicted"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","unmatched","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","black"
"chalkboard","orange","chalkboard","black"
"chalkboard","orange","chalkboard","green"
"chalkboard","orange","unmatched","brown"
"chalkboard","orange","chalkboard","green"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","black"
"chalkboard","orange","chalkboard","black"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","white","chalkboard","unmatched"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","chalkboard","green"
"chalkboard","white","unmatched","green"
"chalkboard","white","chalkboard","unmatched"
"chalkboard","white","chair","black"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","chalkboard","green"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","chalkboard","black"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","unmatched","white"
"chalkboard","white","chalkboard","unmatched"
"chalkboard","white","chair","black"
"chalkboard","white","unmatched","white"
"chalkboard","white","chalkboard","green"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","chalkboard","unmatched"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","chalkboard","green"
"chalkboard","white","unmatched","unmatched"
"chalkboard","white","unmatched","unmatched"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","unmatched","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","unmatched","brown"
"chalkboard","orange","unmatched","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","black"
"chalkboard","orange","chalkboard","black"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","unmatched","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","black"
"chalkboard","orange","chalkboard","black"
"chalkboard","orange","chalkboard","green"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","unmatched","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","orange","unmatched","brown"
"chalkboard","orange","chalkboard","brown"
"chalkboard","white","unmatched","white"
"chalkboard","white","chalkboard","green"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","black"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","chalkboard","green"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","black"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"chalkboard","white","chalkboard","green"
"chalkboard","white","unmatched","white"
"chalkboard","white","chalkboard","green"
"chalkboard","white","unmatched","white"
"chalkboard","white","unmatched","white"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","brown"
"polar bear","orange","unmatched","white"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","unmatched","orange"
"polar bear","orange","polar bear","brown"
"polar bear","orange","polar bear","white"
"polar bear","orange","polar bear","brown"
"polar bear","orange","unmatched","white"
"polar bear","orange","polar bear","white"
