key,n_pairs,accuracy_mean,accuracy_sd,npmi_mean
black,12,0.7583333333333333,0.2725479910170086,-0.48194176257003324
blue,12,0.7194444444444444,0.31956519456950705,-0.3064487336015148
brown,12,0.5888888888888889,0.3880944265905107,-0.6437929210011387
green,12,0.7861111111111111,0.24625278089549657,-0.32715081384214567
orange,12,0.6166666666666667,0.40563165191715134,-0.48434543047155126
pink,12,0.6611111111111111,0.3511445131791218,-0.4495126551155743
purple,12,0.7055555555555556,0.2990210364621753,-0.6321953464302101
red,12,0.8361111111111111,0.27061600967303845,-0.20128071411166762
white,12,0.7027777777777778,0.3645032980934297,-0.45068265182107625
yellow,12,0.75,0.3304037933599835,-0.40707955246853106
