key,n_pairs,accuracy_mean,accuracy_sd,npmi_mean
apple,10,0.42666666666666664,0.3244824939636789,-0.3238897865220932
bag,10,0.9466666666666667,0.03399346342395189,-0.32360872735044005
ball,10,0.7,0.20869967789998037,-0.37308455346620445
banana,10,0.3933333333333333,0.348903042883454,-0.43582451015447976
car,10,0.9633333333333333,0.052599112793531654,-0.3521210946022541
chair,10,0.9733333333333334,0.02905932629027115,-0.2840227526378415
chalkboard,10,0.24666666666666667,0.294089933334837,-0.6995341068167158
dog,10,0.8533333333333333,0.1462114146630754,-0.1539099064768323
flower,10,0.82,0.15506271132817345,-0.05717977058068542
frog,10,0.8866666666666667,0.10132456102380444,-0.7086644144881483
polar bear,10,0.36,0.30940803695659447,-0.8012660964846872
shoe,10,0.9800000000000001,0.02666666666666666,-0.7482109781397495
