object,color,category,npmi,pmi,ppmi,p_joint,count_pattern,n_correct,n_total,accuracy,acc_ci_lo,acc_ci_hi
apple,black,under,-0.24249614713953613,-2.8901528815035222,0.0,6.666966680167274e-06,4,12,30,0.4,0.23333333333333334,0.5666666666666667
apple,blue,under,-0.27901088104190336,-3.712139309703447,0.0,1.6667416700418185e-06,1,15,30,0.5,0.3333333333333333,0.7
apple,brown,never,-1.0,-5.074376067040501,0.0,0.0,0,0,30,0.0,0.0,0.0
apple,green,positive,0.05359754855424286,0.5102727971732454,0.5102727971732454,7.333663348184001e-05,44,29,30,0.9666666666666667,0.9,1.0
apple,orange,under,-0.1745142468660841,-2.3218492177643393,0.0,1.6667416700418185e-06,1,4,30,0.13333333333333333,0.03333333333333333,0.26666666666666666
apple,pink,under,-0.21720118770986957,-2.889783595540105,0.0,1.6667416700418185e-06,1,2,30,0.06666666666666667,0.0,0.16666666666666666
apple,purple,under,-0.15682705736296396,-2.086527529995303,0.0,1.6667416700418185e-06,1,10,30,0.3333333333333333,0.16666666666666666,0.5
apple,red,under,-0.02314391114087241,-0.22998900890071658,0.0,4.833550843121274e-05,29,30,30,1.0,1.0,1.0
apple,white,under,-0.19930198251394546,-2.2945399009128415,0.0,1.0000450020250911e-05,6,10,30,0.3333333333333333,0.16666666666666666,0.5
apple,yellow,never,-1.0,-5.074376067040501,0.0,0.0,0,16,30,0.5333333333333333,0.36666666666666664,0.7
bag,black,under,-0.2768154541771309,-3.107308390973109,0.0,1.3333933360334548e-05,8,28,30,0.9333333333333333,0.8333333333333334,1.0
bag,blue,under,-0.2715265821959341,-3.2361476386130885,0.0,6.666966680167274e-06,4,28,30,0.9333333333333333,0.8333333333333334,1.0
bag,brown,under,-0.14432378511954455,-1.639334876595812,0.0,1.166719169029273e-05,7,30,30,1.0,1.0,1.0
bag,green,under,-0.23475784862392443,-2.7979251656546578,0.0,6.666966680167274e-06,4,29,30,0.9666666666666667,0.9,1.0
bag,orange,never,-1.0,-5.074376067040501,0.0,0.0,0,26,30,0.8666666666666667,0.7333333333333333,0.9666666666666667
bag,pink,under,-0.2856211295197163,-3.8000862855696376,0.0,1.6667416700418185e-06,1,29,30,0.9666666666666667,0.9,1.0
bag,purple,under,-0.22524699917281074,-2.996830220024836,0.0,1.6667416700418185e-06,1,28,30,0.9333333333333333,0.8333333333333334,1.0
bag,red,under,-0.24780671692034253,-2.898149616482623,0.0,8.333708350209092e-06,5,29,30,0.9666666666666667,0.9,1.0
bag,white,under,-0.3193495775223078,-3.8979897715023193,0.0,5.000225010125456e-06,3,29,30,0.9666666666666667,0.9,1.0
bag,yellow,under,-0.2306391802526892,-2.908704350228347,0.0,3.333483340083637e-06,2,28,30,0.9333333333333333,0.8333333333333334,1.0
